Nombre,Sector,Telefono,Direccion,Localidad,Tiene_Web,Prioridad,Notas
MD Peluquería,Peluquería,+34 640 91 12 66,"Av. Campo de Morvedre 42",Puerto de Sagunto,No,ALTA,"Solo usa Setmore para citas"
Jose Moyano - Estilistas,Peluquería,+34 698 98 91 80,"Plaza Ramón de la Sota, 4",Puerto de Sagunto,No,ALTA,"Solo usa Fresha"
Ana Sánchez,Peluquería,+34 962 68 39 04,"Carrer Reina Na Joana, 1",Puerto de Sagunto,No,ALTA,"Sin presencia web"
David Marti,Peluquería,+34 692 37 56 08,"Carrer América, 18",Puerto de Sagunto,No,ALTA,"Sin presencia web"
Barber Sugar Nails,Barbería,+34 643 13 47 10,"C/ Reina Isabel II, 21",Puerto de Sagunto,No,ALTA,"Sin presencia web"
Peluquería Noemi Unisex,Peluquería,+34 658 79 11 12,"Carrer Ametller, 47",Puerto de Sagunto,No,ALTA,"Sin presencia web"
AR. Estilistes,Peluquería,+34 960 81 38 32,"C/ Garrofera, s/n",Puerto de Sagunto,No,ALTA,"Sin presencia web"
Moha The Barber,Barbería,+34 622 11 66 21,"Avinguda Hispanitat, 58",Puerto de Sagunto,No,ALTA,"Sin presencia web"
Lorena Poveda Estilista,Peluquería,+34 627 90 29 14,"C/ de la Palmereta, 22, B1",Puerto de Sagunto,No,ALTA,"Sin presencia web"
Peluquería Patricia,Peluquería,+34 633 45 22 00,"Avinguda de la Ribera, 23",Puerto de Sagunto,No,ALTA,"Centro de bronceado incluido"
Lola Torrente Peluquería y Estética,Peluquería,+34 962 67 05 39,"C/ Churruca, 26A, Bajo",Puerto de Sagunto,No,ALTA,"Incluye estética"
Joven's Estilistes,Peluquería,+34 962 68 10 65,"Carrer Taronger, 35",Puerto de Sagunto,No,ALTA,"Salón de belleza"
Vermon Salón de Estética,Estética,+34 645 71 43 71,"Avinguda de la Ribera, 25",Puerto de Sagunto,No,ALTA,"Centro de estética"
Julia Guillem Peluqueros 2,Peluquería,+34 640 08 07 39,"Carrer Barcelona, 13",Puerto de Sagunto,Básica,MEDIA,"Web simple mejorable"
Luirina Morini,Peluquería,+34 623 22 06 91,"Carrer Alquerieta de Roc, 15",Sagunto,No,ALTA,"Sin presencia web"
Peluquería Renau,Peluquería,+34 645 62 64 32,"Av. Doctor Palos, 11",Sagunto,No,ALTA,"Sin presencia web"
Talleres Hermanos Ruiz C.B.,Taller Mecánico,Buscar en directorio,Puerto de Sagunto,Puerto de Sagunto,Verificar,ALTA,"Buscar en Páginas Amarillas"
Talleres Record Movil,Taller Mecánico,Buscar en directorio,Puerto de Sagunto,Puerto de Sagunto,Verificar,ALTA,"Buscar en Páginas Amarillas"
Talleres Mecánicos Bonache S.L.,Taller Mecánico,Buscar en directorio,Puerto de Sagunto,Puerto de Sagunto,Verificar,ALTA,"Buscar en Páginas Amarillas"
Autos Ximo 2002 S.L.,Taller Mecánico,Buscar en directorio,Puerto de Sagunto,Puerto de Sagunto,Verificar,ALTA,"Buscar en Páginas Amarillas"
Sagunt Dent Repair,Taller Chapa,Buscar en directorio,"Carrer Els Partidors, 6",Sagunto,Verificar,MEDIA,"Reparación abolladuras"
Talleres Portauto,Taller Mecánico,Buscar en directorio,"Pol. Ind. Ingruinsa, 49",Puerto de Sagunto,Verificar,MEDIA,"Neumáticos y reparaciones"
Talleres Luyjo,Taller Mecánico,Buscar en directorio,Sagunto,Sagunto,Verificar,MEDIA,"Taller multimarca"
J.D.A. Cerrajero,Cerrajería,Buscar en Habitissimo,Puerto de Sagunto,Puerto de Sagunto,Verificar,ALTA,"Cerrajero local"
Puertas Automáticas F.Díaz,Cerrajería,Buscar en Habitissimo,Puerto de Sagunto,Puerto de Sagunto,Verificar,ALTA,"Puertas automáticas"
Cerrajería FG,Cerrajería,Buscar en Habitissimo,Puerto de Sagunto,Puerto de Sagunto,Verificar,ALTA,"Cerrajería local"
Metalhome Servicios Integrales,Cerrajería,Buscar en Habitissimo,Puerto de Sagunto,Puerto de Sagunto,Verificar,ALTA,"Servicios integrales"
Empresa Carpintería Metálica,"Carpintería Metálica",Buscar,"C/ Cataluña, 33",Sagunto,No,ALTA,"Vista en Empresite"
