correo electrónico,nombre,apellidos,Nombre y apellido,organización,cargo,país,fuente
"comunicacioncorporativa@iberdrola.es","","","Hide Search","Iberdrola","","","iberdrola.com"
"globalbrand@iberdrola.com","","","Hide Search","Iberdrola","","","iberdrola.com"
"investor.relations@iberdrola.es","","","Hide Search","Iberdrola","","","iberdrola.com"
"sacportal@repsol.com","","","Blog Energía para avanzar","Repsol","","","repsol.com"
"webcorporativa@repsol.com","","","Blog Energía para avanzar","Repsol","","","repsol.com"
"facebook-default@2x.png.asset.1584959819909.png","","","Ventajas Coches Electricos","BMW España","","","bmw.es"
"instagram-default@2x.png.asset.1584959820390.png","","","Ventajas Coches Electricos","BMW España","","","bmw.es"
"youtube-default@2x.png.asset.1584959824298.png","","","Ventajas Coches Electricos","BMW España","","","bmw.es"
"contacto-cliente.esp@renault.es","","","Mobilize Financial Services","Renault España","","","renault.es"
"u003Econtacto-cliente.esp@renault.es","","","Mobilize Financial Services","Renault España","","","renault.es"
"seat-responde@seat.es","","","Preguntas Frecuentes","Seat","","","seat.es"
"f@faisalman.com","","","My Renting","Volkswagen España","","","volkswagen.es"
"nombre@email.com","","","Mango Style Club","Mango","","","mango.com"
"personaldata@mango.com","","","Mango Style Club","Mango","","","mango.com"
"online@cortefiel.com","","","Mid Season Sale hasta -50%","Cortefiel","","","cortefiel.com"
"dpo@tendam.es","","","Mid Season Sale hasta -50%","Cortefiel","","","cortefiel.com"
